epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2407.41,1.00966,3.54623,1.19762,0.5,0.25642,0.33214,0.24778,1.13688,5.19277,1.26631,0.000398525,0.000398525,0.000398525
43,2766.86,0.94877,3.43171,1.1559,0.65887,0.34856,0.50788,0.41676,1.13772,5.26286,1.27225,0.00039605,0.00039605,0.00039605
44,3112.78,0.93335,3.42854,1.14286,0.62335,0.47915,0.52469,0.44589,1.31675,5.76703,1.356,0.000393575,0.000393575,0.000393575
45,3557.59,0.99597,3.57014,1.1802,0.58967,0.33604,0.43762,0.37056,1.38566,5.57185,1.3988,0.0003911,0.0003911,0.0003911
46,4074.01,0.93314,3.4504,1.14007,0.66219,0.45996,0.52508,0.43193,1.31097,5.19215,1.3767,0.000388625,0.000388625,0.000388625
47,4574.28,0.94143,3.40067,1.13306,0.66919,0.58854,0.6045,0.47492,1.35738,5.70755,1.38475,0.00038615,0.00038615,0.00038615
48,4927.62,0.92988,3.22789,1.13007,0.6754,0.44037,0.53496,0.42714,1.25733,5.27326,1.31249,0.000383675,0.000383675,0.000383675
49,5226.33,0.94015,3.2704,1.13338,0.6774,0.54633,0.56906,0.45525,1.33077,5.03649,1.35209,0.0003812,0.0003812,0.0003812
50,5560.76,0.93545,3.24174,1.12398,0.60871,0.56398,0.57116,0.46011,1.3466,5.8731,1.36684,0.000378725,0.000378725,0.000378725
51,5900.49,0.91202,3.22382,1.13642,0.67061,0.64657,0.62673,0.49403,1.31336,5.4021,1.35154,0.00037625,0.00037625,0.00037625
52,6277.29,0.90395,3.11681,1.13165,0.75294,0.68717,0.6606,0.52157,1.26557,5.01532,1.32781,0.000373775,0.000373775,0.000373775
53,6757.16,0.91308,3.26752,1.12724,0.71337,0.39661,0.48637,0.38881,1.24455,5.20132,1.33625,0.0003713,0.0003713,0.0003713
54,7235.91,0.9334,3.20807,1.14677,0.78233,0.37172,0.46965,0.37102,1.28512,5.53386,1.3256,0.000368825,0.000368825,0.000368825
55,7784.28,0.92977,3.25914,1.11692,0.67767,0.66255,0.59599,0.46192,1.27298,5.29396,1.31413,0.00036635,0.00036635,0.00036635
56,8336.5,0.93823,3.16439,1.14988,0.70108,0.53431,0.55903,0.43971,1.22458,5.38568,1.30384,0.000363875,0.000363875,0.000363875
57,8977.88,0.90761,3.12034,1.11189,0.7261,0.67912,0.63944,0.50811,1.2356,5.48501,1.29439,0.0003614,0.0003614,0.0003614
58,9573.41,0.88748,3.01939,1.1092,0.58833,0.40668,0.47531,0.39295,1.21644,5.59036,1.28898,0.000358925,0.000358925,0.000358925
59,10184.7,0.91177,3.1208,1.13955,0.63743,0.7004,0.63691,0.51537,1.18482,5.68875,1.27496,0.00035645,0.00035645,0.00035645
60,10824.2,0.94142,3.2253,1.13704,0.61867,0.5966,0.5874,0.46614,1.27997,5.96213,1.33376,0.000353975,0.000353975,0.000353975
61,11492.9,0.89606,2.97189,1.11617,0.7202,0.68068,0.67347,0.51974,1.16717,5.1928,1.27318,0.0003515,0.0003515,0.0003515
62,12354.9,0.89061,3.08147,1.10601,0.72408,0.66726,0.63278,0.4904,1.17079,5.1867,1.26053,0.000349025,0.000349025,0.000349025
63,13343.1,0.91128,3.06542,1.11333,0.71886,0.53747,0.58614,0.49387,1.19398,4.94876,1.29014,0.00034655,0.00034655,0.00034655
64,14325.3,0.90504,3.01408,1.09429,0.58693,0.32425,0.42199,0.36263,1.23825,5.30711,1.30224,0.000344075,0.000344075,0.000344075
65,15718,0.88946,3.01281,1.10886,0.68353,0.42374,0.51017,0.40068,1.19293,5.18904,1.28431,0.0003416,0.0003416,0.0003416
66,17051.7,0.88153,2.91536,1.10295,0.69002,0.72844,0.67736,0.52651,1.16569,5.25354,1.28913,0.000339125,0.000339125,0.000339125
67,19024.6,0.88533,2.8221,1.08868,0.45066,0.21265,0.30801,0.24282,1.23184,5.65119,1.33262,0.00033665,0.00033665,0.00033665
68,21017.5,0.89378,2.84329,1.09604,0.66511,0.33743,0.48009,0.38479,1.25024,5.52314,1.33991,0.000334175,0.000334175,0.000334175
69,23803.2,0.89859,2.93784,1.10654,0.38675,0.14805,0.24772,0.18851,1.21306,5.22058,1.27995,0.0003317,0.0003317,0.0003317
70,26413.7,0.84992,2.78722,1.06833,0.4507,0.19702,0.31015,0.25127,1.1276,4.96856,1.24447,0.000329225,0.000329225,0.000329225
71,123.579,0.90962,2.97201,1.18014,0.64071,0.58686,0.60026,0.48446,1.17282,4.9269,1.3025,0.00032675,0.00032675,0.00032675
72,279.151,0.90665,2.90432,1.14563,0.66388,0.62112,0.6152,0.49745,1.21923,5.21247,1.34651,0.000324275,0.000324275,0.000324275
73,495.166,0.918,3.0398,1.15442,0.71776,0.59742,0.62639,0.48276,1.19618,5.16687,1.31532,0.0003218,0.0003218,0.0003218
74,714.698,0.86962,2.81496,1.11782,0.66931,0.33846,0.5056,0.41505,1.30927,4.96967,1.37456,0.000319325,0.000319325,0.000319325
75,998.198,0.87331,2.72124,1.12199,0.6622,0.5358,0.60157,0.46278,1.23299,5.28514,1.37692,0.00031685,0.00031685,0.00031685
76,1258.82,0.8823,2.85047,1.12873,0.68526,0.41524,0.53243,0.44472,1.19311,5.30977,1.31581,0.000314375,0.000314375,0.000314375
77,1565.61,0.87557,2.70022,1.10875,0.74665,0.26612,0.47048,0.40376,1.16082,5.27976,1.27735,0.0003119,0.0003119,0.0003119
78,1883.52,0.82947,2.64289,1.10162,0.73785,0.49747,0.58994,0.47508,1.19889,5.0469,1.30059,0.000309425,0.000309425,0.000309425
79,2165,0.84429,2.74448,1.11405,0.73197,0.6499,0.66256,0.52449,1.19257,4.7128,1.31049,0.00030695,0.00030695,0.00030695
80,2423.58,0.86271,2.68069,1.12112,0.76408,0.5053,0.57406,0.44427,1.25553,5.17146,1.35297,0.000304475,0.000304475,0.000304475
81,2683.87,0.83543,2.60861,1.08656,0.73966,0.44621,0.54898,0.44594,1.23222,4.98452,1.38612,0.000302,0.000302,0.000302
82,2965.86,0.81478,2.57995,1.0793,0.63945,0.34284,0.48669,0.3596,1.20781,5.26691,1.36566,0.000299525,0.000299525,0.000299525
83,3263.15,0.87148,2.7348,1.10465,0.64334,0.36924,0.46078,0.37002,1.20749,5.76252,1.3387,0.00029705,0.00029705,0.00029705
84,3559.33,0.81883,2.60236,1.07865,0.72276,0.64681,0.63202,0.50405,1.20882,5.98548,1.33683,0.000294575,0.000294575,0.000294575
85,3861.07,0.82169,2.63271,1.07632,0.66719,0.47443,0.5466,0.45217,1.21507,5.86085,1.28527,0.0002921,0.0002921,0.0002921
86,4251.61,0.80753,2.54985,1.07301,0.71983,0.52063,0.55713,0.45081,1.22201,5.85341,1.31136,0.000289625,0.000289625,0.000289625
87,4609.16,0.81203,2.52572,1.08199,0.69699,0.62919,0.65173,0.5179,1.19283,5.88586,1.33731,0.00028715,0.00028715,0.00028715
88,4989.19,0.80766,2.53181,1.06411,0.67435,0.60722,0.65521,0.51801,1.20079,5.52347,1.30512,0.000284675,0.000284675,0.000284675
89,5418.96,0.79602,2.4998,1.08357,0.64925,0.44986,0.55789,0.41215,1.22442,5.55927,1.34212,0.0002822,0.0002822,0.0002822
90,5826.33,0.79575,2.47003,1.07259,0.65543,0.56202,0.59284,0.45051,1.25216,5.98729,1.35825,0.000279725,0.000279725,0.000279725
91,6251.92,0.78117,2.49192,1.05683,0.71633,0.61013,0.64218,0.49049,1.23626,6.06922,1.36798,0.00027725,0.00027725,0.00027725
92,6757.62,0.80948,2.51322,1.08078,0.73254,0.56734,0.62173,0.47264,1.21562,6.05477,1.33065,0.000274775,0.000274775,0.000274775
93,7250.6,0.80703,2.54936,1.0487,0.73464,0.62464,0.65615,0.52063,1.14244,5.42168,1.26174,0.0002723,0.0002723,0.0002723
94,7752.89,0.81695,2.55555,1.08582,0.72021,0.64267,0.64793,0.52542,1.13455,5.35795,1.28406,0.000269825,0.000269825,0.000269825
95,8382.26,0.78781,2.4514,1.04567,0.6311,0.60571,0.59918,0.47908,1.19419,5.58243,1.30655,0.00026735,0.00026735,0.00026735
96,9026.15,0.78068,2.37245,1.04922,0.65441,0.71818,0.64794,0.519,1.1849,5.87501,1.30129,0.000264875,0.000264875,0.000264875
97,9565.54,0.82074,2.54334,1.09519,0.59716,0.53768,0.54328,0.4275,1.24504,5.91898,1.35258,0.0002624,0.0002624,0.0002624
98,10296.8,0.81401,2.48621,1.08027,0.70791,0.68081,0.66398,0.5275,1.22631,5.75844,1.34753,0.000259925,0.000259925,0.000259925
99,11054,0.76486,2.33125,1.05034,0.665,0.63225,0.62123,0.48064,1.19636,5.55413,1.29933,0.00025745,0.00025745,0.00025745
100,12110.4,0.77877,2.42244,1.0495,0.67268,0.56326,0.57643,0.48158,1.14526,5.66641,1.28424,0.000254975,0.000254975,0.000254975
101,13189,0.78772,2.44578,1.0566,0.69914,0.63008,0.65077,0.51444,1.07397,5.22506,1.24821,0.0002525,0.0002525,0.0002525
102,133.569,0.82094,2.48198,1.26511,0.635,0.55062,0.56453,0.46068,1.22285,5.31158,1.6939,0.000250025,0.000250025,0.000250025
103,274.139,0.81458,2.40933,1.11619,0.6669,0.59689,0.59316,0.49436,1.1876,5.5212,1.42314,0.00024755,0.00024755,0.00024755
